trial	learning_rate	num_train_epochs	per_device_train_batch_size	runtime	loss	hamming_loss	accuracy	f1_micro	f1_macro	f1_weighted	class_f1_scores [HOTEL#HAUPT:neutral ZIMMER#SAUBERKEIT:positiv ZIMMER#HAUPT:negativ HOTEL#PREIS:positiv LAGE#HAUPT:neutral ESSEN&TRINKEN#HAUPT:neutral ESSEN&TRINKEN#HAUPT:negativ ESSEN&TRINKEN#RUHE:negativ ZIMMER#RUHE:negativ HOTEL#STYLE:negativ ESSEN&TRINKEN#HAUPT:positiv HOTEL#SAUBERKEIT:positiv LAGE#HAUPT:negativ HOTEL#HAUPT:negativ HOTEL#HAUPT:positiv SERVICE#HAUPT:negativ ESSEN&TRINKEN#PREIS:negativ ZIMMER#HAUPT:neutral ZIMMER#STYLE:negativ ZIMMER#STYLE:positiv HOTEL#STYLE:positiv SERVICE#HAUPT:positiv LAGE#PREIS:positiv ZIMMER#HAUPT:positiv LAGE#HAUPT:positiv HOTEL#SAUBERKEIT:negativ LAGE#RUHE:positiv ZIMMER#STYLE:neutral ZIMMER#SAUBERKEIT:negativ ESSEN&TRINKEN#PREIS:positiv LAGE#PREIS:neutral ZIMMER#RUHE:positiv ESSEN&TRINKEN#STYLE:positiv ZIMMER#PREIS:positiv SERVICE#HAUPT:neutral ESSEN&TRINKEN#STYLE:neutral ESSEN&TRINKEN#PREIS:neutral LAGE#RUHE:negativ LAGE#RUHE:neutral ZIMMER#SAUBERKEIT:neutral HOTEL#STYLE:neutral HOTEL#PREIS:negativ HOTEL#PREIS:neutral HOTEL#SAUBERKEIT:neutral LAGE#PREIS:negativ ESSEN&TRINKEN#RUHE:positiv SERVICE#SAUBERKEIT:positiv ZIMMER#RUHE:neutral SERVICE#SAUBERKEIT:neutral ESSEN&TRINKEN#STYLE:negativ SERVICE#SAUBERKEIT:negativ ZIMMER#PREIS:negativ ZIMMER#PREIS:neutral]
0	4,54E+10	3	16	26.747.363.662.719.700	0.11098570190370083	0.024611868913306356	0.0035244360902255637	0.021974306964164976	0.0023494542037157526	0.017184436797878486	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12452107279693488, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
1	2,11E+10	3	16	25.935.991.072.654.700	0.16979065909981728	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
2	3,81E+10	3	16	2.605.302.231.311.790	0.11644972115755081	0.024877864089927156	0.0	0.0014114326040931544	0.00018962738219398882	0.0013869773495929756	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.010050251256281407, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
3	3,28E+09	3	16	2.596.136.462.688.440	0.13120905682444572	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
4	4,02E+10	3	8	40.660.265.707.969.600	0.08137727156281471	0.020367114715203492	0.16102705316914112	0.3376068712516477	0.04044569944897718	0.24218529191217578	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5694803795370454, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.037500000000000006, 0.0, 0.8617820836934192, 0.0, 0.0, 0.6748596075653258, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5	2,59E+10	2	8	2.773.307.762.145.990	0.11410696245729923	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
6	3,71E+11	4	4	9.514.680.213.928.220	0.05954346898943186	0.016348669113277346	0.3709448539033378	0.5669815878809473	0.10255629346504622	0.45387942577969037	[0.0, 0.8341405105567667, 0.0, 0.32837942264171777, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.835061524609844, 0.037037037037037035, 0.0, 0.0, 0.6696777617748979, 0.03125, 0.0, 0.0, 0.0, 0.6940651403070005, 0.3014071341145462, 0.9014878079799635, 0.0, 0.0, 0.802977214625676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
7	2,16E+11	2	8	27.844.776.153.564.400	0.1223185583949089	0.024895597101701875	0.0	0.0	0.0	0.0	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
8	3,70E+10	3	8	40.620.374.155.044.500	0.08315562456846237	0.020677233895722815	0.14364514001372197	0.312722319613434	0.036749146718858566	0.22056008519479675	[0.0, 0.00909090909090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.47452232452232446, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0659513395297977, 0.0, 0.8632827179217438, 0.0, 0.0, 0.534857485034729, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
9	4,87E+10	4	8	5.365.009.050.369.260	0.07026454620063305	0.018083126153479866	0.28137134935174246	0.4767498258669468	0.07109255598253154	0.36209262120737656	[0.0, 0.35090865614538497, 0.0, 0.03125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.809565916883995, 0.0, 0.0, 0.0, 0.47192569335426476, 0.0, 0.0, 0.0, 0.0, 0.44154436960888577, 0.038967611336032396, 0.8917378591650128, 0.0, 0.0, 0.7320053605805956, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
